nComponents,k,fold,accuracy,macroF1,AUROC,TP,TN,FP,FN
5,1,1,0.5385,0.4583,0.475,6,1,4,2
5,1,2,0.4444,0.3077,0.0,4,0,0,5
5,1,3,0.8571,0.8571,0.875,3,3,1,0
5,1,4,0.5556,0.55,0.575,3,2,3,1
5,1,5,0.7273,0.7273,0.7857,4,4,3,0
5,3,1,0.5385,0.35,0.4875,7,0,5,1
5,3,2,0.5556,0.3571,0.0,5,0,0,4
5,3,3,0.8571,0.8571,0.9167,3,3,1,0
5,3,4,0.6667,0.6494,0.75,4,2,3,0
5,3,5,0.7273,0.7273,0.8036,4,4,3,0
5,5,1,0.6154,0.5113,0.4125,7,1,4,1
5,5,2,0.5556,0.3571,0.0,5,0,0,4
5,5,3,0.8571,0.8571,0.875,3,3,1,0
5,5,4,0.6667,0.6494,0.625,4,2,3,0
5,5,5,0.7273,0.7273,0.7857,4,4,3,0
5,7,1,0.6154,0.5113,0.4625,7,1,4,1
5,7,2,0.5556,0.3571,0.0,5,0,0,4
5,7,3,0.8571,0.8571,0.875,3,3,1,0
5,7,4,0.6667,0.6494,0.55,4,2,3,0
5,7,5,0.7273,0.7273,0.8393,4,4,3,0
10,1,1,0.5385,0.35,0.4375,7,0,5,1
10,1,2,0.3333,0.25,0.0,3,0,0,6
10,1,3,0.7143,0.7083,0.7083,2,3,1,1
10,1,4,0.7778,0.775,0.8,4,3,2,0
10,1,5,0.7273,0.7273,0.7857,4,4,3,0
10,3,1,0.6154,0.5113,0.55,7,1,4,1
10,3,2,0.4444,0.3077,0.0,4,0,0,5
10,3,3,0.8571,0.8571,0.9583,3,3,1,0
10,3,4,0.6667,0.6494,0.825,4,2,3,0
10,3,5,0.7273,0.7273,0.7321,4,4,3,0
10,5,1,0.6154,0.5113,0.55,7,1,4,1
10,5,2,0.4444,0.3077,0.0,4,0,0,5
10,5,3,0.8571,0.8571,0.9167,3,3,1,0
10,5,4,0.6667,0.6494,0.75,4,2,3,0
10,5,5,0.7273,0.7273,0.8036,4,4,3,0
10,7,1,0.6154,0.5113,0.525,7,1,4,1
10,7,2,0.5556,0.3571,0.0,5,0,0,4
10,7,3,0.7143,0.7083,0.9167,2,3,1,1
10,7,4,0.6667,0.6494,0.775,4,2,3,0
10,7,5,0.6364,0.6333,0.8036,4,3,4,0
15,1,1,0.5385,0.35,0.4375,7,0,5,1
15,1,2,0.3333,0.25,0.0,3,0,0,6
15,1,3,0.7143,0.7083,0.7083,2,3,1,1
15,1,4,0.7778,0.775,0.8,4,3,2,0
15,1,5,0.7273,0.7273,0.7857,4,4,3,0
15,3,1,0.5385,0.4583,0.5625,6,1,4,2
15,3,2,0.6667,0.4,0.0,6,0,0,3
15,3,3,0.8571,0.8571,0.9583,3,3,1,0
15,3,4,0.6667,0.6494,0.9,4,2,3,0
15,3,5,0.7273,0.7273,0.7321,4,4,3,0
15,5,1,0.6154,0.5113,0.6,7,1,4,1
15,5,2,0.4444,0.3077,0.0,4,0,0,5
15,5,3,0.8571,0.8571,0.9167,3,3,1,0
15,5,4,0.6667,0.6494,0.825,4,2,3,0
15,5,5,0.7273,0.7273,0.8036,4,4,3,0
15,7,1,0.6154,0.5113,0.6375,7,1,4,1
15,7,2,0.5556,0.3571,0.0,5,0,0,4
15,7,3,0.7143,0.7083,0.9167,2,3,1,1
15,7,4,0.6667,0.6494,0.75,4,2,3,0
15,7,5,0.6364,0.6333,0.8036,4,3,4,0
