nComponents,k,meanAccuracy,stdAccuracy,meanMacroF1,stdMacroF1,meanAUROC,stdAUROC,TP,TN,FP,FN
5,1,0.6246,0.1478,0.5801,0.1941,0.5421,0.3065,20,10,11,8
5,3,0.669,0.1172,0.5882,0.2027,0.5915,0.3276,23,9,12,5
5,5,0.6844,0.1033,0.6204,0.1729,0.5396,0.3123,23,10,11,5
5,7,0.6844,0.1033,0.6204,0.1729,0.5454,0.316,23,10,11,5
10,1,0.6182,0.1638,0.5621,0.2174,0.5463,0.3027,20,10,11,8
10,3,0.6622,0.1355,0.6105,0.1884,0.6131,0.3341,22,10,11,6
10,5,0.6622,0.1355,0.6105,0.1884,0.604,0.3245,22,10,11,6
10,7,0.6377,0.0528,0.5719,0.125,0.604,0.328,22,9,12,6
15,1,0.6182,0.1638,0.5621,0.2174,0.5463,0.3027,20,10,11,8
15,3,0.6912,0.1033,0.6184,0.1692,0.6306,0.3443,23,10,11,5
15,5,0.6622,0.1355,0.6105,0.1884,0.629,0.3311,22,10,11,6
15,7,0.6377,0.0528,0.5719,0.125,0.6215,0.3235,22,9,12,6
